duration,baseline_cumulative_hazards
1.0,0.0038478742
2.0,0.008422179
3.0,0.013894139
4.0,0.018607222
5.0,0.022682173
6.0,0.027591996
7.0,0.0341388
8.0,0.03996852
9.0,0.044923496
10.0,0.04974918
11.0,0.052274518
12.0,0.05615422
13.0,0.05994364
14.0,0.065880276
15.0,0.072551854
16.0,0.07649371
17.0,0.080770835
18.0,0.08488064
19.0,0.08856767
20.0,0.0920929
21.0,0.09430275
22.0,0.099086955
23.0,0.10225867
24.0,0.104311936
25.0,0.10816969
26.0,0.11027184
27.0,0.11270992
28.0,0.115783505
29.0,0.11703627
30.0,0.120208584
31.0,0.12344026
32.0,0.12540491
33.0,0.12737928
34.0,0.1287089
35.0,0.13275188
36.0,0.13550188
37.0,0.13620284
38.0,0.13832419
39.0,0.140465
40.0,0.14190282
41.0,0.14371541
42.0,0.14663188
43.0,0.14884348
44.0,0.14921986
45.0,0.15112244
46.0,0.15381761
47.0,0.15615655
48.0,0.15894845
49.0,0.1613854
50.0,0.16343829
51.0,0.16509128
52.0,0.16760407
53.0,0.16846023
54.0,0.16976358
55.0,0.17108072
56.0,0.1741755
57.0,0.17552641
58.0,0.17781563
59.0,0.18104827
60.0,0.18245377
61.0,0.18483357
62.0,0.18772735
63.0,0.18920982
64.0,0.18971245
65.0,0.1927473
66.0,0.19530971
67.0,0.19945388
68.0,0.2005097
69.0,0.2031723
70.0,0.20532776
71.0,0.20641752
72.0,0.20806734
73.0,0.20918204
74.0,0.21030651
75.0,0.21314584
76.0,0.21429831
77.0,0.21604025
78.0,0.21954669
79.0,0.2201398
80.0,0.2219296
81.0,0.2237402
82.0,0.22495599
83.0,0.22556823
84.0,0.22741999
85.0,0.22804472
86.0,0.2311979
87.0,0.23247321
88.0,0.23438954
89.0,0.23438954
90.0,0.2363521
91.0,0.23766696
92.0,0.24232586
93.0,0.24502175
94.0,0.24707578
95.0,0.2505294
96.0,0.2505294
97.0,0.25123873
98.0,0.25268894
99.0,0.2548864
100.0,0.25637025
101.0,0.2586201
102.0,0.26015094
103.0,0.2609226
104.0,0.2609226
105.0,0.26485944
106.0,0.26566213
107.0,0.26727822
108.0,0.2713812
109.0,0.27221468
110.0,0.27305833
111.0,0.27647233
112.0,0.27821305
113.0,0.27909532
114.0,0.28175023
115.0,0.28175023
116.0,0.28175023
117.0,0.2844773
118.0,0.287256
119.0,0.28913438
120.0,0.28913438
121.0,0.29201537
122.0,0.29298034
123.0,0.29395938
124.0,0.29594412
125.0,0.29695275
126.0,0.29999283
127.0,0.3020576
128.0,0.30415308
129.0,0.30521694
130.0,0.30628753
131.0,0.30736685
132.0,0.3084554
133.0,0.3084554
134.0,0.31068408
135.0,0.31180465
136.0,0.31293377
137.0,0.31634447
138.0,0.3186546
139.0,0.32099202
140.0,0.32687238
141.0,0.33283824
142.0,0.33405125
143.0,0.3364902
144.0,0.3364902
145.0,0.3377435
146.0,0.3377435
147.0,0.3390181
148.0,0.34030336
149.0,0.34160554
150.0,0.34683487
151.0,0.3495252
152.0,0.3495252
153.0,0.35225412
154.0,0.35365713
155.0,0.3564848
156.0,0.3623318
157.0,0.3623318
158.0,0.36537743
159.0,0.3669129
160.0,0.3684764
161.0,0.37006074
162.0,0.37327495
163.0,0.3749175
164.0,0.37825742
165.0,0.38166884
166.0,0.38166884
167.0,0.3869452
168.0,0.38873962
169.0,0.39055115
170.0,0.39055115
171.0,0.39055115
172.0,0.39055115
173.0,0.39245293
174.0,0.394394
175.0,0.394394
176.0,0.39836124
177.0,0.40036696
178.0,0.40036696
179.0,0.40036696
180.0,0.40858665
181.0,0.4128363
182.0,0.4128363
183.0,0.4128363
184.0,0.41504568
185.0,0.42175713
186.0,0.4263422
187.0,0.4333559
188.0,0.4381156
189.0,0.4381156
190.0,0.44310427
191.0,0.45076922
192.0,0.45606717
193.0,0.45879903
194.0,0.46158218
195.0,0.46441954
196.0,0.46441954
197.0,0.46441954
198.0,0.4673353
199.0,0.4731902
200.0,0.4731902
201.0,0.47622514
202.0,0.47930336
203.0,0.47930336
204.0,0.47930336
205.0,0.4824752
206.0,0.4824752
207.0,0.48577297
208.0,0.48577297
209.0,0.48925003
210.0,0.48925003
211.0,0.48925003
212.0,0.4930112
213.0,0.4930112
214.0,0.4930112
215.0,0.4930112
216.0,0.4930112
217.0,0.49736616
218.0,0.49736616
219.0,0.49736616
220.0,0.5066537
221.0,0.5114917
222.0,0.5114917
223.0,0.5164762
224.0,0.5164762
225.0,0.521762
226.0,0.5275065
227.0,0.5275065
228.0,0.5275065
229.0,0.5275065
230.0,0.5275065
231.0,0.5275065
232.0,0.5275065
233.0,0.53462744
234.0,0.53462744
235.0,0.53462744
236.0,0.5426563
237.0,0.5426563
238.0,0.5426563
239.0,0.5426563
240.0,0.5426563
241.0,0.5426563
242.0,0.5536211
243.0,0.5536211
244.0,0.5536211
245.0,0.5536211
246.0,0.5536211
247.0,0.5536211
248.0,0.5536211
249.0,0.5536211
250.0,0.5536211
251.0,0.5536211
252.0,0.57319856
253.0,0.57319856
254.0,0.57319856
255.0,0.57319856
256.0,0.57319856
257.0,0.6028813
258.0,0.6028813
259.0,0.6397171
260.0,0.6397171
261.0,0.6397171
262.0,0.6397171
263.0,0.6397171
264.0,0.97074926
